PropertyID,City,PropertyType,Area_sqm,Bedrooms,Bathrooms,Age_years,Distance_to_Center_km,Has_Garden,Has_Parking,Furnished,Price_USD,LocalCurrency,ExchangeRate_to_USD,Price_Local
PROP_00001,Paris,Penthouse,212.4,4,3,0,6.03,0,1,Fully,4393286.38,EUR,0.92,4041823.47
PROP_00002,London,House,201.6,5,3,54,3.18,1,0,Partially,2487115.54,GBP,0.8,1989692.43
PROP_00003,Paris,House,161.9,4,3,1,35.68,1,1,Unfurnished,952689.87,EUR,0.92,876474.68
PROP_00004,New York,Apartment,62.5,2,2,26,0.95,0,0,Unfurnished,668118.89,USD,1.0,668118.89
PROP_00005,Sydney,House,107.0,3,3,42,27.03,1,1,Unfurnished,530463.11,AUD,1.5,795694.66
PROP_00006,Sydney,Apartment,81.5,2,1,26,2.21,0,1,Fully,649344.2,AUD,1.5,974016.3
PROP_00007,Mumbai,Apartment,102.5,3,3,1,2.22,0,1,Partially,554376.12,INR,83.5,46290406.02
PROP_00008,London,Apartment,129.1,3,2,4,4.12,0,1,Unfurnished,1383296.95,GBP,0.8,1106637.56
PROP_00009,Mumbai,House,197.5,5,4,0,1.37,1,0,Partially,1584607.64,INR,83.5,132314737.94
PROP_00010,Paris,House,145.3,4,3,3,34.35,1,1,Partially,929816.43,EUR,0.92,855431.12
PROP_00011,Paris,Penthouse,205.1,5,4,3,6.69,0,1,Unfurnished,4130182.04,EUR,0.92,3799767.48
PROP_00012,Sydney,Apartment,73.2,2,2,0,3.57,0,0,Fully,593327.79,AUD,1.5,889991.68
PROP_00013,Paris,Apartment,70.5,2,2,1,1.46,0,1,Unfurnished,755943.18,EUR,0.92,695467.73
PROP_00014,Mumbai,Apartment,88.1,2,1,4,11.94,0,0,Partially,252015.69,INR,83.5,21043310.11
PROP_00015,Sydney,Apartment,119.3,3,3,6,5.0,0,1,Fully,1264523.09,AUD,1.5,1896784.64
PROP_00016,New York,Apartment,143.0,4,3,3,6.21,0,0,Fully,1980774.62,USD,1.0,1980774.62
PROP_00017,New York,House,243.4,5,4,1,31.03,1,1,Fully,2291255.98,USD,1.0,2291255.98
PROP_00018,Paris,Apartment,85.4,2,2,50,4.09,1,0,Fully,757778.8,EUR,0.92,697156.5
PROP_00019,Tokyo,House,243.2,5,3,34,11.19,1,0,Fully,2590802.77,JPY,150.0,388620415.5
PROP_00020,Tokyo,Penthouse,130.7,3,2,77,0.58,0,1,Fully,1286775.88,JPY,150.0,193016382.0
PROP_00021,Tokyo,House,139.3,3,2,4,40.0,1,0,Unfurnished,547271.46,JPY,150.0,82090719.0
PROP_00022,Tokyo,Apartment,124.0,3,3,3,3.46,0,1,Fully,1245972.06,JPY,150.0,186895809.0
PROP_00023,Paris,Penthouse,173.8,5,4,28,1.05,0,1,Partially,3613611.82,EUR,0.92,3324522.87
PROP_00024,London,House,212.1,5,3,14,40.0,1,0,Partially,1178943.38,GBP,0.8,943154.7
PROP_00025,London,Apartment,98.5,2,2,4,4.73,0,0,Partially,1217935.77,GBP,0.8,974348.62
PROP_00026,Paris,House,266.8,5,4,7,1.18,1,1,Fully,5297391.72,EUR,0.92,4873600.38
PROP_00027,New York,Apartment,72.6,1,1,11,1.98,0,0,Unfurnished,812773.28,USD,1.0,812773.28
PROP_00028,Paris,House,173.8,4,3,2,40.0,1,1,Fully,850114.52,EUR,0.92,782105.36
PROP_00029,Tokyo,Apartment,61.8,1,1,4,3.98,0,1,Fully,615699.13,JPY,150.0,92354869.5
PROP_00030,Mumbai,House,348.6,5,3,6,17.02,1,0,Fully,1597595.12,INR,83.5,133399192.52
PROP_00031,Mumbai,Apartment,106.0,2,2,15,0.25,1,1,Fully,556132.33,INR,83.5,46437049.56
PROP_00032,London,House,281.4,5,3,1,12.34,1,0,Partially,3725326.55,GBP,0.8,2980261.24
PROP_00033,Tokyo,House,252.4,5,4,25,11.8,1,1,Partially,3114672.32,JPY,150.0,467200848.0
PROP_00034,Tokyo,Apartment,70.4,2,2,0,8.42,0,0,Partially,578996.78,JPY,150.0,86849517.0
PROP_00035,Mumbai,Penthouse,175.5,5,4,8,2.52,0,1,Fully,1467117.88,INR,83.5,122504342.98
PROP_00036,New York,House,238.3,5,4,20,16.86,1,0,Unfurnished,2753515.55,USD,1.0,2753515.55
PROP_00037,Sydney,Apartment,38.7,1,1,47,9.39,0,1,Partially,191497.78,AUD,1.5,287246.67
PROP_00038,Paris,House,142.7,3,2,16,16.75,1,1,Unfurnished,1423254.33,EUR,0.92,1309393.98
PROP_00039,Mumbai,Penthouse,270.7,5,4,27,6.05,0,1,Fully,1973353.17,INR,83.5,164774989.7
PROP_00040,New York,House,167.0,3,3,7,5.56,1,1,Unfurnished,2726349.09,USD,1.0,2726349.09
PROP_00041,New York,House,292.9,5,4,18,3.43,1,0,Partially,4950914.32,USD,1.0,4950914.32
PROP_00042,Mumbai,Apartment,64.5,1,1,15,6.85,0,1,Partially,209345.06,INR,83.5,17480312.51
PROP_00043,New York,Apartment,25.0,1,1,12,1.95,0,1,Unfurnished,304805.87,USD,1.0,304805.87
PROP_00044,Paris,House,201.7,5,4,9,11.85,1,1,Unfurnished,2658040.26,EUR,0.92,2445397.04
PROP_00045,New York,Penthouse,136.2,3,2,15,1.47,0,0,Partially,2581163.74,USD,1.0,2581163.74
PROP_00046,Paris,Penthouse,197.1,4,3,17,0.53,1,1,Unfurnished,4552423.47,EUR,0.92,4188229.59
PROP_00047,Mumbai,House,249.0,5,3,0,5.67,1,1,Unfurnished,1483070.47,INR,83.5,123836384.24
PROP_00048,New York,Apartment,66.5,2,2,0,0.19,0,0,Fully,1063452.53,USD,1.0,1063452.53
PROP_00049,Paris,House,306.1,5,4,4,7.19,1,0,Unfurnished,4469127.61,EUR,0.92,4111597.4
PROP_00050,Mumbai,Apartment,95.1,2,1,0,3.45,0,1,Partially,404905.22,INR,83.5,33809585.87
PROP_00051,New York,House,271.9,5,3,0,16.88,1,1,Unfurnished,3554620.27,USD,1.0,3554620.27
PROP_00052,Tokyo,Penthouse,190.2,5,4,12,0.29,0,1,Partially,3772296.66,JPY,150.0,565844499.0
PROP_00053,Paris,Apartment,142.2,4,3,27,7.32,0,0,Partially,1357754.14,EUR,0.92,1249133.81
PROP_00054,London,Apartment,45.9,1,1,2,0.82,0,1,Fully,577291.23,GBP,0.8,461832.98
PROP_00055,New York,House,343.9,5,3,0,2.22,1,0,Fully,6839761.76,USD,1.0,6839761.76
PROP_00056,Mumbai,House,50.0,2,1,6,4.66,1,0,Partially,235885.33,INR,83.5,19696425.06
PROP_00057,Sydney,Apartment,81.6,3,3,3,1.17,0,1,Partially,878779.06,AUD,1.5,1318168.59
PROP_00058,Sydney,Apartment,110.5,3,2,11,0.57,0,1,Fully,1062623.23,AUD,1.5,1593934.84
PROP_00059,New York,House,218.2,5,3,11,3.19,1,0,Partially,3528630.6,USD,1.0,3528630.6
PROP_00060,London,House,138.8,3,2,20,6.78,1,0,Fully,1753300.97,GBP,0.8,1402640.78
PROP_00061,Sydney,House,100.9,2,1,40,0.1,1,0,Partially,962618.29,AUD,1.5,1443927.44
PROP_00062,Paris,House,212.2,5,3,55,8.1,1,1,Unfurnished,2308855.0,EUR,0.92,2124146.6
PROP_00063,London,House,83.1,3,2,5,6.65,1,1,Fully,1251143.68,GBP,0.8,1000914.94
PROP_00064,New York,House,244.7,5,4,11,0.64,1,0,Fully,4554481.32,USD,1.0,4554481.32
PROP_00065,London,Penthouse,230.3,5,4,21,2.72,0,1,Partially,4694994.6,GBP,0.8,3755995.68
PROP_00066,New York,House,160.8,4,3,3,5.72,1,1,Unfurnished,3066663.0,USD,1.0,3066663.0
PROP_00067,Paris,House,223.6,5,3,2,20.22,1,1,Partially,2144603.63,EUR,0.92,1973035.34
PROP_00068,Paris,Apartment,136.3,3,3,34,4.89,0,1,Partially,1412345.53,EUR,0.92,1299357.89
PROP_00069,New York,House,258.1,5,4,1,33.73,1,1,Partially,1798464.72,USD,1.0,1798464.72
PROP_00070,Paris,House,244.3,5,4,2,4.48,1,0,Unfurnished,4505765.13,EUR,0.92,4145303.92
PROP_00071,Sydney,Apartment,83.4,2,1,11,2.38,0,1,Partially,812627.81,AUD,1.5,1218941.72
PROP_00072,Mumbai,Apartment,127.4,2,2,12,6.3,0,1,Unfurnished,450053.38,INR,83.5,37579457.23
PROP_00073,Sydney,Apartment,34.6,1,1,2,0.53,0,1,Partially,294919.57,AUD,1.5,442379.36
PROP_00074,Paris,House,233.7,5,3,12,11.2,1,1,Unfurnished,2850823.31,EUR,0.92,2622757.45
PROP_00075,New York,Penthouse,130.5,4,3,1,7.61,1,1,Partially,2819792.92,USD,1.0,2819792.92
PROP_00076,Mumbai,Apartment,61.1,2,2,1,2.68,1,1,Partially,310028.64,INR,83.5,25887391.44
PROP_00077,Tokyo,House,94.8,2,1,2,8.28,1,1,Unfurnished,883390.66,JPY,150.0,132508599.0
PROP_00078,New York,House,136.5,3,2,55,7.37,1,1,Unfurnished,1376983.45,USD,1.0,1376983.45
PROP_00079,Mumbai,Apartment,53.2,1,1,24,2.15,0,1,Partially,172893.83,INR,83.5,14436634.8
PROP_00080,Tokyo,Apartment,77.4,2,2,7,4.1,0,0,Unfurnished,748182.44,JPY,150.0,112227366.0
PROP_00081,Tokyo,Apartment,110.0,3,2,2,6.29,0,0,Fully,913601.84,JPY,150.0,137040276.0
PROP_00082,Tokyo,House,80.4,2,2,12,15.31,1,1,Unfurnished,680448.65,JPY,150.0,102067297.5
PROP_00083,Sydney,House,315.2,5,3,33,0.16,1,0,Fully,3721503.95,AUD,1.5,5582255.93
PROP_00084,Tokyo,Apartment,94.9,3,3,14,2.05,0,0,Fully,1071977.3,JPY,150.0,160796595.0
PROP_00085,Paris,House,287.3,5,3,44,17.31,1,0,Unfurnished,1871993.12,EUR,0.92,1722233.67
PROP_00086,Tokyo,House,176.5,3,2,11,12.04,1,0,Fully,1812380.57,JPY,150.0,271857085.5
PROP_00087,Tokyo,Apartment,118.1,3,2,25,3.45,0,1,Partially,1165794.37,JPY,150.0,174869155.5
PROP_00088,Paris,Apartment,133.6,3,2,36,2.71,0,1,Fully,1503353.32,EUR,0.92,1383085.05
PROP_00089,Paris,Penthouse,168.7,5,4,14,8.95,0,1,Fully,3218637.57,EUR,0.92,2961146.56
PROP_00090,New York,Apartment,48.0,2,2,46,0.84,0,1,Partially,531600.28,USD,1.0,531600.28
PROP_00091,New York,Apartment,108.0,3,2,1,0.1,1,0,Fully,1972679.05,USD,1.0,1972679.05
PROP_00092,Mumbai,Apartment,82.8,2,2,30,6.59,0,1,Partially,294642.17,INR,83.5,24602621.2
